CONTENT,CLASS
Since when has Katy Perry had her own YouTube channel?﻿,0
Sub my channel!﻿,1
ILove shakira ﻿,0
"How did THIS Video in all of YouTube get this many views and likes? Why  Gangnam style? I don't have a problem with it, i just don't understand the  phenomena behind it, it's just like any other random music video out  there. ﻿",0
Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8﻿,0
Where did she find all that make up in a freakin jungle?!﻿,0
Check out this video on YouTube:﻿,1
Why dafuq is a Korean song so big in the USA. Does that mean we support  Koreans? Last time I checked they wanted to bomb us. ﻿,0
5 years soon!﻿,0
this video is great .....!!! I love this........and like much katy perry﻿,0
fave song﻿,0
epic﻿,0
I'm only checking the views﻿,0
awesome﻿,0
5 years ago damn ﻿,0
selfie alert﻿,0
subscribe to my pagee please.,1
Party rock due and duel﻿,0
OMG that looks just like a piece of the mirror of harry potter and the deathly hallows.<br />Either that house. (sirius black)﻿,0
please subscribe i am a new youtuber and need help please subscribe and i  will subscribe back :D hoppa HOPPA GaNgAm StYlE﻿,1
very good song:)﻿,0
I am now going to voyage to the first comment...      Tell my family I loved them. 😢﻿,0
I found out this song now﻿,0
I love this song and expect the World Cup .﻿,0
OMG I LOVE YOU KATY PARRY YOUR SONGS ROCK!!!!!!!!!!!!!!!!! THATS A TOTAL  SUBSCRIBE﻿,0
"how does this video have 2,127,322,484 views if there are only 7 million  people on earth?﻿",0
Its funny because I listen to rock and death metal. But i like this.﻿,0
Οh my god ... Roar is the most liked video at Vevo .. while 2 months ago  was Justin's Baby.. congrats Katy . Applause &lt;3 ﻿,0
wow,0
Fuck you Eminem﻿,0
Cutie girl and beautiful song,0
SHAKIRA SONG WAKA WAKA﻿,0
Can we reach 3 billion views by December 2014? ﻿,0
Come subscribe﻿,1
"O peoples of the earth, I have seen how you perform every form of evil at your leisure! You cease not from reveling in that which I hate! Behold, you murder the innocent day and night and plot evil against your neighbor! You stand up for the rights of those who commit abomination and clap your hands as wickedness is celebrated openly in the streets!... O MOST PERVERSE AND ABOMINABLE GENERATION, SHALL I NOT REPAY?!  Hear the Word of The Lord - TrumpetCallOfGodOnline.  co m",1
"""....because I AM a champion...and you're gonna hear me roar!""   Today I AM my own champion  Today I AM a champion for the Creator  Today I AM doing positive in my world Today I AM blessing and healing all around me Today I AM successful and  creating success  ﻿",0
"I love this-the talents of eminem and Skylar,works well together﻿",0
Check out this playlist on YouTube:﻿,1
well done shakira,0
"i am 2,126,492,636 viewer :D﻿",0
Eminem rap can be easy for a boy but I can do that﻿,0
Eminem is my insperasen and fav﻿,0
"This Will Always Be My Favorite Song<br />But My Favorite Part Is <a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=3m40s"">3:40</a>-<a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=4m11s"">4:11</a> In The Video ﻿",0
wait I SAW A KID NOT KIDDING﻿,0
I love you  ;p﻿,0
Please Subscribe In My Channel →﻿,1
If only I had the body like Katy Perry :)). She looks so hot. I love her  ^^!﻿,0
Awesum song!! Jus luv it!﻿,0
subscribe to my chanell﻿,1
"Every collaboration between them, we know it will be number 1 ﻿",0
"Made five years ago and people still don&#39;t understand the message this song is conveying. For those of you who don&#39;t, understand that domestic violence is no game, women like the fictional one in this video do exist. Living their lives with a man who abuses her, but still chooses to stay for not the love, but for the sexual feeling he gives her. This is quite sad, actually. ﻿",0
I love you Shakiria!!!!!!﻿,0
OMG 2/7 People watched this video because there are 7 billion people in the  world and 2 billion watched this﻿,0
WAYS TO MAKE MONEY 50k Per Month Search google Now &gt;&gt; 9nl.me/make-money-without-investment-1,1
Simply rap god﻿,0
No one makes me wanna party like LMFAO does... I just wanna rage every time one of these songs comes on. The only other band that does that is &quot;On the Rocks Inc.&quot; those kids know how to party﻿,0
Check out this video on YouTube:<br /><br /><br /><br />﻿,1
Good video﻿,0
Check out this playlist on YouTube:﻿,1
http://hackfbaccountlive.com/?ref=5242575﻿,1
No-I hate The Way U LIe!!﻿,0
"It makes me happy instantly, and makes me forgot everything bad happening!﻿",0
PLEASE VOTE FOR ME FOR THE WET SEAL MODEL 2015 CONTEST! MY INSTAGRAM  USERNAME IS destinyforever_  http://www.wetseal.com/modelsearch15/modelsearch15.html﻿,1
#2012bitches﻿,0
Party rock! XD﻿,0
This Song will never get old,0
"OH SHIT THIS WAS UPLOADED ON MY BIRTHDAY, finally my birthday isnt a curse, because on this day maylaysia airlines went missing, so i thought my birthday was a curse xD﻿",0
is that Megan fox﻿,0
PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,0
i like this song because of all the animals and i like this song .﻿,0
Wanderfol is love or miusic﻿,0
"I don&#39;t understand this song, I have had the passion for women feel like im losing my mind but i don&#39;t understand the ideas of loving the the way someone lies.....﻿",0
:),0
The great mother of the jungle. Sweet and natural. I like her videos.﻿,0
"Hi -this is Johnny: 1. If You already know my music - thumb this up, because You found it this way, too. 2. If You want to hear original songs completely made by 1 person, continue reading:  I sing, write original music+lyrics &amp; play guitar, bass, drums &amp; keyboards. I&#39;m a 1-man-band. My music is completely independent &amp; 100% listener-supported. If You want to hear it &amp; if You&#39;re willing to help record new album - click on my name/picture.  Thank You &amp; enjoy the music - wish You awesome day!",1
"Haha, I can&#39;t believe how many kids listen to Eminem.  You kids know that he does drugs and ends high in jail. I wonder why he never ended OD. ﻿",0
THUMBS UP FOR ROBO GUY BABY﻿,0
LOVE TROP FORT VOTRE  clip﻿,0
like!!!!!,0
"Hello all 29.24% earth population of the world, hope your having a great  day :)﻿",0
LMFAO!!!!!!!!﻿,0
Check out this playlist on YouTube:Central ﻿,1
😫😓😏😪😔😖😌😭😎😚😘😙😗😋😝😜😛😍😒😞😷😶😵😳😲😱😟😰😩😨😧😦😥😤😣😮😴😢😡😠😬😕😑😐😯😉😈😇😆😅😄😃😂😁😀😊☺  every single types of face on earth﻿,0
Love this song!!!,0
Eminem is idol for very people in España and Mexico or Latinoamerica﻿,0
Watch Maroon 5's latest 2nd single from V (It Was Always You) www.youtube. com/watch?v=TQ046FuAu00﻿,1
"the views...... They&#39;re over 90,000!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿",0
Love Song﻿,0
Gusttavo Lima Você não me conhece <br />Check out﻿,1
This song is so beauty,0
Eminem rocks!﻿,0
i want to be that robot guy...﻿,0
"Hi there~I'm group leader of Angel, a rookie Korean pop group. We have four  members, Chanicka, Julie, Stephanie, and myself, Leah. Please feel free to  check out our channel and leave some feedback on our cover videos (:  criticism is welcome as we know we're not top notch singers so please come  leave some constructive feedback on our videos; we appreciate any chance to  improve before auditioning for a Korean management company. We plan on  auditioning for JYP, BigHit, Jellyfish, YG or SM. Thank you for taking time  out of your day to read this !﻿",1
PARTY ROCK (8) ~﻿,0
"When I hear Katy singing this, I cry. The song has got depth.﻿",0
i hate rap﻿,0
I wish that guy wasn&#39;t so protective geeze﻿,0
If she really did this there she's hardcore﻿,0
Glad to know im not the only one who knows its katheryn's birthday today :)  happy birthday katy...and my sister. (they seriously have the same  birthday...)﻿,0
" Something to dance to, even if your sad JUST dance!!   PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿",0
Y LOVE YOU﻿,0
How old is Katy perry?﻿,0
I want new song,0
I love the way you lie﻿,0
Man this song really does get in your bones - one minute I&#39;m nearly dosing off to sleep - the next I&#39;m shuffling like crazy with hot feet XD﻿,0
BEST SONG! GO SHAKI :D﻿,0
subscribers please`﻿,1
GANGMAN STY- *D-D-D-D-D-D--DROP THE BASS!!*﻿,0
It was  cool   the best   song ever  ﻿,0
I like how the robot shuffles he shuffles good﻿,0
katy perry will u sit on my face please. it would be really awesome and  i'll give you 5 dollars. ok if you want to do this then please call me and  subscribe to my channel first ok thats good and then u sit on my face and  ill get an erection then you sit more k?﻿,1
"I loved, she is amazing.. OMG your eyes*_*﻿",0
She looks like Megan Fox 😂 xD!!﻿,0
"You are all sheep, period. This is terrible music.﻿",0
subscribe me plzzzzzzz plzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz﻿,1
Waka waka ﻿,0
I WILL NEVER FORGET THIS SONG IN MY LIFE LIKE THIS COMMENT OF YOUR HEARING THIS SONG FOR LIKE A YEAR!!!!!,1
Amazing song﻿,0
Just gonna stand there and hear me cry ..﻿,0
Anyone else think this video theme is a bit of an insult to 28 days later? ﻿,0
likeeeeeeeee﻿,0
I hate it when Laura Bennett comes in﻿,0
lol so funny love it﻿,0
Whose who are watching this in 2015.  LIKE!﻿,0
so beutiful,0
please suscribe i am bored of 5 subscribers try to get it to 20!﻿,1
Love this song﻿,0
She is fit﻿,0
"mindblowing dance.,.,.superbbb song﻿",0
i was born in the wrong generation﻿,0
never gets old﻿,0
i hate this music. fucking singer and every koean chainise ana US sucks me dick.﻿,0
"so crazy, over 2 billion views, not US, not Uk, its Korea republic, its  asia﻿",0
Why did they stop their career in music? This music rocks !﻿,0
P E A C E  &amp;  L O V E  ! !﻿,0
Shakira :-*,0
It is 0 zero﻿,0
In my head this is like 2 years ago.. Time FLIES﻿,0
*KATY YOU ARE A SHIT GO DIE!!!!!ROAR IS A FLOOOOOOOOOOOOOOOOOOOOP*﻿,0
